objectid,parentid,filename,youtubeid,vimeoid,title,creator,date,description,subject,source,identifier,format,language,location,latitude,longitude,type,rights,rightsstatement,object_location,image_small,image_thumb
coll010,coll008,untlogo.jpg,,,UNT Libraries Logo,University of North Texas Libraries,1890,Logo for UNT Libraries,,"University of North Texas Oral History Program, University of North Texas Special Collections",,image/jpeg,eng,"Denton, Texas",33.21484,-97.133064,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of North Texas Special Collections at specialcollections@unt.edu. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll011,,earnestellis_transcript_compressed.pdf,,,"Oral HIstory Interview with Ernest Ellis, June 30, 1981","Jenkins, Floyd ; Ellis, Ernest",1981-06-30,"Interview with Ernest Ellis, former owner of Lander's Mercantile, previously known as Frank Ellis Dealer in Everything, in New Hope, Texas. The interview includes Ellis discussing his father's accomplishments, including ownership of the mercantile store, a sugar plantation in Louisiana, and a peddling wagon, and serving on the board of the Works Progress Administration in Dallas. Ellis also discusses his personal history of working in his father's shop, taking over ownership before selling in 1946, personal hobbies, observations of New Hope during the Great Depression, and work in sales before his retirement.","Ellis, Ernest L.; Military and War - Wars - World War II; World War, 1939-1945; Store - General Stores; Great Depression; Business, Economics and Finance; World War, 1914-1918; Sale of small businesses","University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-025,application/pdf,eng,"New Hope, Texas",33.21192437,-96.56580073,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll012,,,,,"Oral History Interview Part 1 with Ned Estes, June 8, 1982","Jenkins, Floyd ; Estes, Ned",,"Interview (Part 1) with Ned Estes, the operator of a grocery store, repair shop, and rental cottages, in Mountain Home, Texas. The interview includes Estes discussing his family background, his past employment as an auto mechanic and a ranch hand, his experience in the Air Service, the establishment of a long-running business encompassing auto repair, gasoline, grocery, and cottage rentals with his wife Olive Graham, his experience as a Delco Light products salesman, his family’s generosity during the Great Depression, and his retirement from auto mechanic work.",,"University of North Texas Oral History Program, University of North Texas Special Collections",,compound_object,eng,"Mountain Home, Texas",30.16967946,-99.3726448,record,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll013,coll012,nedestes_transcript_compressed.pdf,,,"Oral History Interview Part 1 with Ned Estes, June 8, 1982","Jenkins, Floyd ; Estes, Ned",1982-06-08,"Interview (Part 1) with Ned Estes, the operator of a grocery store, repair shop, and rental cottages, in Mountain Home, Texas. The interview includes Estes discussing his family background, his past employment as an auto mechanic and a ranch hand, his experience in the Air Service, the establishment of a long-running business encompassing auto repair, gasoline, grocery, and cottage rentals with his wife Olive Graham, his experience as a Delco Light products salesman, his family’s generosity during the Great Depression, and his retirement from auto mechanic work.",Ned Estes; Automobile mechanics; Automobile repair shops;Grocery trade; Service stations; Vacation rentals; Religion; Great Depression; ; employments; mechanics; rental cottages; Gasoline; Couple-owned business enterprises,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-026-01,application/pdf,eng,"Mountain Home, Texas",30.16967946,-99.3726448,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll014,coll012,untlogo.jpg,,,UNT Libraries Logo,University of North Texas Libraries,1890,Logo for UNT Libraries,,"University of North Texas Oral History Program, University of North Texas Special Collections",,image/jpeg,eng,"Denton, Texas",33.21484,-97.133064,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of North Texas Special Collections at specialcollections@unt.edu. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll015,,,,,"Oral History Interview Part 2 with Ned Estes, June 10, 1982","Jenkins, Floyd ; Estes, Ned",,"Interview (Part 2) with Ned Estes, the operator of a grocery store, repair shop, and rental cottages, in Mountain Home, TX. This interview includes Estes discussing the slow development of the Mountain Home area, Estes’ commitment to serving his community, changes in hunting culture including the introduction of exotic game ranches, his lack of vacation due to his work schedule, his tape ministry of spiritual hymns and music in resthomes, his concerns about modern advancements including television, and his dedication to his faith.",,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-026-03,compound_object,eng,"Mountain Home, Texas",30.16967946,-99.3726448,record,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll016,coll015,nedestes_transcript_compressed.pdf,,,"Oral History Interview Part 2 with Ned Estes, June 10, 1982","Jenkins, Floyd ; Estes, Ned",1982-06-10,"Interview (Part 2) with Ned Estes, the operator of a grocery store, repair shop, and rental cottages, in Mountain Home, TX. This interview includes Estes discussing the slow development of the Mountain Home area, Estes’ commitment to serving his community, changes in hunting culture including the introduction of exotic game ranches, his lack of vacation due to his work schedule, his tape ministry of spiritual hymns and music in resthomes, his concerns about modern advancements including television, and his dedication to his faith.","Ned Estes; Automobile mechanics; Automobile repair shops; Grocery trade; Service stations; Vacation rentals; Business, Economics and Finance; Religion; Great Depression; ; employments; mechanics; rental cottages; Audiocassettes; Hunting","University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-026-03,application/pdf,eng,"Mountain Home, Texas",30.16967946,-99.3726448,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll017,coll015,untlogo.jpg,,,UNT Libraries Logo,University of North Texas Libraries,1890,Logo for UNT Libraries,,"University of North Texas Oral History Program, University of North Texas Special Collections",,image/jpeg,eng,"Denton, Texas",33.21484,-97.133064,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of North Texas Special Collections at specialcollections@unt.edu. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll018,,reedbrewer_transcript_compressed.pdf,,,"Oral History Interview with Ada Reed and Bob Brewer, March 14, 1984","Jenkins, Floyd ; Brewer, Bob; Reed, Ada",1984-03-14,"Interview with Ada Reed and Bob Brewer, owners and operators of A. B. McGill and Company General Merchants, from Bertram, Texas. The interview includes Reed and Brewer discussing their upbringing in a small-town, the community role of the general store, their supply and distribution practices, the economical and social shifts in Bertram, the credit business, the strategies to build customer relations and community trust, their involvement with the Texas Retail Association, and their adjustments from clerk-service to self-service retail operations.","McGill, A. B. ; Company General Merchants; ; Stores - General Stores; Consumer behavior; Retail trade","University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-008-01,application/pdf,eng,"Bertram, Texas",30.74367765,-98.05722579,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll019,,,,,"Oral History Interview Part 1 with Stanley Edward and Elsie Adams, March 30, 1984","Jenkins, Floyd ; Adams, Stanley Edward; Adams, Elsie",,"Interview (Part 1) with Stanley Edward Adams, a rancher, Board of City Savings chariman, and co-owner of Adams Abstract Company, and Elsie Adams, co-owner of Adams Abstract Company, from Robert Lee, Texas. This interview includes Stanley Edward Adams discussing his childhood on a cotton farm, his first jobs selling popcorn and working around the courthourse, his experiences working in different abstract companies, and his experiences with drilling for oil.",,"University of North Texas Oral History Program, University of North Texas Special Collections",,compound_object,eng,"Robert Lee, Texas",31.89253328,-100.4846875,record,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll020,coll019,stanleyedwardadams_transcript_compressed.pdf,,,"Oral History Interview Part 1 with Stanley Edward and Elsie Adams, March 30, 1984","Jenkins, Floyd ; Adams, Stanley Edward; Adams, Elsie",1984-03-30,"Interview (Part 1) with Stanley Edward Adams, a rancher, Board of City Savings chariman, and co-owner of Adams Abstract Company, and Elsie Adams, co-owner of Adams Abstract Company, from Robert Lee, Texas. This interview includes Stanley Edward Adams discussing his childhood on a cotton farm, his first jobs selling popcorn and working around the courthourse, his experiences working in different abstract companies, and his experiences with drilling for oil.",Civic Activities; Abstracts of title; Adams Abstract Company;  Couple-owned Great Depression; Ranching; Real estate business; Savings banks; Title companies; Agriculture; Oil and Gas; Real Estate; Education - Schools - Teachers; Cotton farmers; Rural families,"University of North Texas Oral History Program, University of North Texas Special Collections",,application/pdf,eng,"Robert Lee, Texas",31.89253328,-100.4846875,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll021,coll019,untlogo.jpg,,,UNT Libraries Logo,University of North Texas Libraries,1890,Logo for UNT Libraries,,"University of North Texas Oral History Program, University of North Texas Special Collections",,image/jpeg,eng,"Denton, Texas",33.21484,-97.133064,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of North Texas Special Collections at specialcollections@unt.edu. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll022,,,,,"Oral History Interview Part 2 with Stanley Edward and Elsie Adams, March 30, 1984","Jenkins, Floyd ; Adams, Stanley Edward; Adams, Elsie",,"Interview (Part 2) with Stanley Edward Adams, a rancher, Board of City Savings chariman, and co-owner of Adams Abstract Company, and Elsie Adams, co-owner of Adams Abstract Company, from Robert Lee, Texas. This interview includes Stanley Edward Adams discussing his expansion into ranching operations, transition into banking, and reflections on water shortages and the economy. Moreover, this interivew also includes Elsie Adam discussing her early life, her experience as a teacher in Robert Lee and her experience working in abstract companies.",,"University of North Texas Oral History Program, University of North Texas Special Collections",,compound_object,eng,"Robert Lee, Texas",31.89253328,-100.4846875,record,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll023,coll022,stanleyedwardadams_transcript_compressed.pdf,,,"Oral History Interview Part 2 with Stanley Edward and Elsie Adams, March 30, 1984","Jenkins, Floyd ; Adams, Stanley Edward; Adams, Elsie",1984-03-30,"Interview (Part 2) with Stanley Edward Adams, a rancher, Board of City Savings chariman, and co-owner of Adams Abstract Company, and Elsie Adams, co-owner of Adams Abstract Company, from Robert Lee, Texas. This interview includes Stanley Edward Adams discussing his expansion into ranching operations, transition into banking, and reflections on water shortages and the economy. Moreover, this interivew also includes Elsie Adam discussing her early life, her experience as a teacher in Robert Lee and her experience working in abstract companies.",Civic Activities; Abstracts of title; Adams Abstract Company;  Couple-owned Great Depression; Ranching; Real estate business; Savings banks; Title companies; Agriculture; Oil and Gas; Real Estate; Education - Schools - Teachers; Cotton farmers; Rural families,"University of North Texas Oral History Program, University of North Texas Special Collections",,application/pdf,eng,"Robert Lee, Texas",31.89253328,-100.4846875,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll024,coll022,untlogo.jpg,,,UNT Libraries Logo,University of North Texas Libraries,1890,Logo for UNT Libraries,,"University of North Texas Oral History Program, University of North Texas Special Collections",,image/jpeg,eng,"Denton, Texas",33.21484,-97.133064,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of North Texas Special Collections at specialcollections@unt.edu. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
